model,device,prompt_length,gen_tokens,run_index,latency_ms
Qwen/Qwen2.5-0.5B,cpu,128,8,16,2388.3296999847516
Qwen/Qwen2.5-0.5B,cpu,128,8,17,2376.8401000415906
Qwen/Qwen2.5-0.5B,cpu,128,8,18,2102.6631999993697
Qwen/Qwen2.5-0.5B,cpu,128,8,19,2445.1775000197813
Qwen/Qwen2.5-0.5B,cpu,128,32,0,6218.336900114082
Qwen/Qwen2.5-0.5B,cpu,128,32,1,5793.013599934056
Qwen/Qwen2.5-0.5B,cpu,128,32,2,4849.622500012629
Qwen/Qwen2.5-0.5B,cpu,128,32,3,5147.673100000247
Qwen/Qwen2.5-0.5B,cpu,128,32,4,5085.333499941044
Qwen/Qwen2.5-0.5B,cpu,128,32,5,5088.238700060174
Qwen/Qwen2.5-0.5B,cpu,128,32,6,4878.9718999760225
Qwen/Qwen2.5-0.5B,cpu,128,32,7,5495.254600071348
Qwen/Qwen2.5-0.5B,cpu,128,32,8,5161.830400000326
Qwen/Qwen2.5-0.5B,cpu,128,32,9,5492.718599969521
Qwen/Qwen2.5-0.5B,cpu,128,32,10,5418.111499981023
Qwen/Qwen2.5-0.5B,cpu,128,32,11,5709.623000002466
Qwen/Qwen2.5-0.5B,cpu,128,32,12,5991.938899969682
Qwen/Qwen2.5-0.5B,cpu,128,32,13,7176.610399968922
Qwen/Qwen2.5-0.5B,cpu,128,32,14,5694.219700060785
Qwen/Qwen2.5-0.5B,cpu,128,32,15,6639.667899929918
Qwen/Qwen2.5-0.5B,cpu,128,32,16,5824.3794000009075
Qwen/Qwen2.5-0.5B,cpu,128,32,17,7596.945199999027
Qwen/Qwen2.5-0.5B,cpu,128,32,18,5941.099700052291
Qwen/Qwen2.5-0.5B,cpu,128,32,19,4982.203699997626
Qwen/Qwen2.5-0.5B,cpu,128,64,0,8750.951499911025
Qwen/Qwen2.5-0.5B,cpu,128,64,1,10496.487799915485
Qwen/Qwen2.5-0.5B,cpu,128,64,2,9132.104200078174
Qwen/Qwen2.5-0.5B,cpu,128,64,3,8943.26029997319
Qwen/Qwen2.5-0.5B,cpu,128,64,4,9643.698899890296
Qwen/Qwen2.5-0.5B,cpu,128,64,5,10355.753800016828
Qwen/Qwen2.5-0.5B,cpu,128,64,6,8749.421200016513
Qwen/Qwen2.5-0.5B,cpu,128,64,7,9940.20830001682
Qwen/Qwen2.5-0.5B,cpu,128,64,8,8914.827000000514
Qwen/Qwen2.5-0.5B,cpu,128,64,9,8910.330199985765
Qwen/Qwen2.5-0.5B,cpu,128,64,10,8834.646200062707
Qwen/Qwen2.5-0.5B,cpu,128,64,11,8874.197199940681
Qwen/Qwen2.5-0.5B,cpu,128,64,12,9130.592000088654
Qwen/Qwen2.5-0.5B,cpu,128,64,13,8587.03609998338
Qwen/Qwen2.5-0.5B,cpu,128,64,14,10022.298300056718
Qwen/Qwen2.5-0.5B,cpu,128,64,15,10343.086500070058
Qwen/Qwen2.5-0.5B,cpu,128,64,16,10273.187800077721
Qwen/Qwen2.5-0.5B,cpu,128,64,17,10231.88089998439
Qwen/Qwen2.5-0.5B,cpu,128,64,18,10268.607500009239
Qwen/Qwen2.5-0.5B,cpu,128,64,19,10274.519999977201
Qwen/Qwen2.5-0.5B,cpu,512,8,0,4918.716499931179
Qwen/Qwen2.5-0.5B,cpu,512,8,1,5479.257700033486
Qwen/Qwen2.5-0.5B,cpu,512,8,2,6258.042300003581
Qwen/Qwen2.5-0.5B,cpu,512,8,3,4997.830400010571
Qwen/Qwen2.5-0.5B,cpu,512,8,4,5792.469100095332
Qwen/Qwen2.5-0.5B,cpu,512,8,5,5335.516600054689
Qwen/Qwen2.5-0.5B,cpu,512,8,6,6441.108800005168
Qwen/Qwen2.5-0.5B,cpu,512,8,7,4432.012000004761
Qwen/Qwen2.5-0.5B,cpu,512,8,8,4401.279000099748
Qwen/Qwen2.5-0.5B,cpu,512,8,9,4468.469500076026
Qwen/Qwen2.5-0.5B,cpu,512,8,10,4550.160199985839
Qwen/Qwen2.5-0.5B,cpu,512,8,11,4520.657400018536
Qwen/Qwen2.5-0.5B,cpu,512,8,12,4324.27799992729
Qwen/Qwen2.5-0.5B,cpu,512,8,13,4325.084200012498
Qwen/Qwen2.5-0.5B,cpu,512,8,14,4389.014100073837
Qwen/Qwen2.5-0.5B,cpu,512,8,15,4412.767399917357
Qwen/Qwen2.5-0.5B,cpu,512,8,16,4435.681100003421
Qwen/Qwen2.5-0.5B,cpu,512,8,17,4324.356900062412
Qwen/Qwen2.5-0.5B,cpu,512,8,18,4590.017199981958
Qwen/Qwen2.5-0.5B,cpu,512,8,19,4332.396900048479
Qwen/Qwen2.5-0.5B,cpu,512,32,0,8609.945900039747
Qwen/Qwen2.5-0.5B,cpu,512,32,1,9042.167200008407
Qwen/Qwen2.5-0.5B,cpu,512,32,2,8518.827599938959
Qwen/Qwen2.5-0.5B,cpu,512,32,3,8763.516300008632
Qwen/Qwen2.5-0.5B,cpu,512,32,4,9372.184699983336
Qwen/Qwen2.5-0.5B,cpu,512,32,5,8700.150500051677
Qwen/Qwen2.5-0.5B,cpu,512,32,6,8828.798900009133
Qwen/Qwen2.5-0.5B,cpu,512,32,7,8739.655199926347
