consensus_type,validator_count,offered_load_tps,validator_failure_rate,malicious_validator_ratio,throughput_tps,confirmation_latency_ms,p95_confirmation_latency_ms,consensus_success_rate,failed_tx_rate,finality_delay_ms,communication_overhead_normalized,benchmark_type
poa_like,4,400,0.05,0.0,372.12544647438756,173.93224999999998,240.733104765625,0.854246484375,0.14575351562500005,191.32547499999998,0.25,consensus_scalability_simulation
poa_like,4,400,0.05,0.1,0.0,493.44999921900006,912.8824979383376,0.0,1.0,542.7949991409001,0.25,consensus_scalability_simulation
poa_like,4,400,0.05,0.25,0.0,536.049999219,991.6924978850875,0.0,1.0,589.6549991409,0.25,consensus_scalability_simulation
poa_like,4,400,0.1,0.0,319.5186649275156,221.48450000000003,319.6298190625,0.6956109375,0.3043890625,243.63295000000005,0.25,consensus_scalability_simulation
poa_like,4,400,0.1,0.1,0.0,504.09999921900004,932.584997925025,0.0,1.0,554.5099991409,0.25,consensus_scalability_simulation
poa_like,4,400,0.1,0.25,0.0,546.699999219,1011.394997871775,0.0,1.0,601.3699991409001,0.25,consensus_scalability_simulation
poa_like,4,400,0.2,0.0,225.63914369028484,316.589,494.27457625,0.42219375000000003,0.57780625,348.2479,0.25,consensus_scalability_simulation
poa_like,4,400,0.2,0.1,0.0,525.399999219,971.9899978984001,0.0,1.0,577.9399991409001,0.25,consensus_scalability_simulation
poa_like,4,400,0.2,0.25,0.0,567.9999992190001,1050.79999784515,0.0,1.0,624.7999991409001,0.25,consensus_scalability_simulation
poa_like,8,50,0.0,0.0,49.51889720441958,154.0,207.9,1.0,0.0,169.4,0.5,consensus_scalability_simulation
poa_like,8,50,0.0,0.1,0.0,523.5999932240001,968.6599822284003,0.0,1.0,575.9599925464001,0.5,consensus_scalability_simulation
poa_like,8,50,0.0,0.25,0.0,569.799993224,1054.1299817664,0.0,1.0,626.7799925464001,0.5,consensus_scalability_simulation
poa_like,8,50,0.05,0.0,49.10053332342108,165.54999999999998,223.49249999999998,0.8875,0.11250000000000004,182.105,0.5,consensus_scalability_simulation
poa_like,8,50,0.05,0.1,0.0,535.149993224,990.0274821129002,0.0,1.0,588.6649925464001,0.5,consensus_scalability_simulation
poa_like,8,50,0.05,0.25,0.0,581.3499932240001,1075.4974816509002,0.0,1.0,639.4849925464001,0.5,consensus_scalability_simulation
poa_like,8,50,0.1,0.0,49.85841340598694,177.1,239.085,0.775,0.22499999999999998,194.81,0.5,consensus_scalability_simulation
poa_like,8,50,0.1,0.1,0.0,546.6999932240001,1011.3949819974004,0.0,1.0,601.3699925464001,0.5,consensus_scalability_simulation
poa_like,8,50,0.1,0.25,0.0,592.899993224,1096.8649815354001,0.0,1.0,652.1899925464,0.5,consensus_scalability_simulation
poa_like,8,50,0.2,0.0,50.50043567062574,200.20000000000002,270.27000000000004,0.55,0.44999999999999996,220.22000000000003,0.5,consensus_scalability_simulation
poa_like,8,50,0.2,0.1,0.0,569.799993224,1054.1299817664,0.0,1.0,626.7799925464001,0.5,consensus_scalability_simulation
poa_like,8,50,0.2,0.25,0.0,615.999993224,1139.5999813044002,0.0,1.0,677.5999925464001,0.5,consensus_scalability_simulation
poa_like,8,100,0.0,0.0,100.30470791558442,154.0,207.9,1.0,0.0,169.4,0.5,consensus_scalability_simulation
poa_like,8,100,0.0,0.1,0.0,523.599996612,968.6599911142001,0.0,1.0,575.9599962732001,0.5,consensus_scalability_simulation
poa_like,8,100,0.0,0.25,0.0,569.799996612,1054.1299908832,0.0,1.0,626.7799962732,0.5,consensus_scalability_simulation
poa_like,8,100,0.05,0.0,98.2192082082248,165.54999999999998,223.49249999999998,0.8875,0.11250000000000004,182.105,0.5,consensus_scalability_simulation
poa_like,8,100,0.05,0.1,0.0,535.1499966120001,990.0274910564502,0.0,1.0,588.6649962732001,0.5,consensus_scalability_simulation
poa_like,8,100,0.05,0.25,0.0,581.349996612,1075.49749082545,0.0,1.0,639.4849962732001,0.5,consensus_scalability_simulation
poa_like,8,100,0.1,0.0,101.34814580815062,177.1,239.085,0.775,0.22499999999999998,194.81,0.5,consensus_scalability_simulation
poa_like,8,100,0.1,0.1,0.0,546.6999966120001,1011.3949909987002,0.0,1.0,601.3699962732002,0.5,consensus_scalability_simulation
poa_like,8,100,0.1,0.25,0.0,592.899996612,1096.8649907677002,0.0,1.0,652.1899962732,0.5,consensus_scalability_simulation
